CRN/Class, Course ID, Course Name, Units, Type, Days, Hours, Room, Dates, Instructor, Capacity, Enrolled, Available, Type2, Days2, Hours2, Room2, Dates2, Type3, Days3, Hours3, Room3, Dates3

Anthropology
13934,BIO-002-25D,Introduction Molecular Biology,0,DISC,W,1:30-2:20pm,GRAN 115,18-JAN 06-MAY,Limbu Shiwani,24,21,3
14094,BIO-002-26D,Introduction Molecular Biology,0,DISC,W,1:30-2:20pm,GLCR 165,18-JAN 06-MAY,Limbu Shiwani,24,21,3
15033,BIO-002-27D,Introduction Molecular Biology,0,DISC,R,10:30-11:20am,GLCR 145,18-JAN 06-MAY,Alvarez Julia,24,24,Closed
15034,BIO-002-28D,Introduction Molecular Biology,0,DISC,R,11:30-12:20pm,GLCR 145,18-JAN 06-MAY,Alvarez Julia,24,24,Closed
15035,BIO-002-29D,Introduction Molecular Biology,0,DISC,R,12:30-1:20pm,CLSSRM 266,18-JAN 06-MAY,Alvarez Julia,24,24,Closed
16300,BIO-002-30D,Introduction Molecular Biology,0,DISC,R,5:30-6:20pm,COB2 266,18-JAN 06-MAY,Garcia Lopez Laura,24,22,2
16301,BIO-002-31D,Introduction Molecular Biology,0,DISC,T,10:30-11:20am,GRAN 130,18-JAN 06-MAY,Garcia Lopez Laura,24,24,Closed
16302,BIO-002-32D,Introduction Molecular Biology,0,DISC,T,11:30-12:20pm,GLCR 165,18-JAN 06-MAY,Garcia Lopez Laura,24,24,Closed
10033,BIO-002L-01,Molecular Biology Lab,1,LAB,M,11:30-2:20pm,SCIENG 167,18-JAN 06-MAY,Emery Janna,24,24,Closed
10034,BIO-002L-02,Molecular Biology Lab,1,LAB,M,3:00-5:50pm,SCIENG 167,18-JAN 06-MAY,Emery Janna,24,24,Closed
10035,BIO-002L-03,Molecular Biology Lab,1,LAB,T,11:30-2:20pm,SCIENG 167,18-JAN 06-MAY,Qin Sarina,24,24,Closed
10036,BIO-002L-04,Molecular Biology Lab,1,LAB,T,3:00-5:50pm,SCIENG 167,18-JAN 06-MAY,Qin Sarina,24,24,Closed
10409,BIO-002L-05,Molecular Biology Lab,1,LAB,W,8:00-10:50am,SCIENG 167,18-JAN 06-MAY,Brown Nathaniel,24,13,11
10548,BIO-002L-06,Molecular Biology Lab,1,LAB,W,11:30-2:20pm,SCIENG 167,18-JAN 06-MAY,Brown Nathaniel,24,22,2
13098,BIO-002L-07,Molecular Biology Lab,1,LAB,W,3:00-5:50pm,SCIENG 167,18-JAN 06-MAY,Karabinis Peter Thomas,24,23,1
14294,BIO-002L-08,Molecular Biology Lab,1,LAB,R,11:30-2:20pm,SCIENG 167,18-JAN 06-MAY,Sanchez Taylor-J,24,24,Closed
14298,BIO-002L-09,Molecular Biology Lab,1,LAB,R,3:00-5:50pm,SCIENG 167,18-JAN 06-MAY,Sanchez Taylor-J,24,23,1
14300,BIO-002L-10,Molecular Biology Lab,1,LAB,F,8:00-10:50am,SCIENG 167,18-JAN 06-MAY,Tu Po-Shu,24,16,8
14483,BIO-002L-11,Molecular Biology Lab,1,LAB,F,11:30-2:20pm,SCIENG 167,18-JAN 06-MAY,Tu Po-Shu,24,23,1
15037,BIO-002L-12,Molecular Biology Lab,1,LAB,T,11:30-2:20pm,SCIENG 173,18-JAN 06-MAY,Chang Hsiao Ming,24,24,Closed
15038,BIO-002L-13,Molecular Biology Lab,1,LAB,T,3:00-5:50pm,SCIENG 173,18-JAN 06-MAY,Chang Hsiao Ming,24,22,2
15039,BIO-002L-14,Molecular Biology Lab,1,LAB,R,11:30-2:20pm,SCIENG 173,18-JAN 06-MAY,Pugne-Andenoro Cory-James,24,24,Closed
15040,BIO-002L-15,Molecular Biology Lab,1,LAB,R,3:00-5:50pm,SCIENG 173,18-JAN 06-MAY,Pugne-Andenoro Cory-James,24,24,Closed
15041,BIO-002L-16,Molecular Biology Lab,1,LAB,F,11:30-2:20pm,SCIENG 173,18-JAN 06-MAY,Innabi Yacoub,24,16,8
16463,BIO-002L-20,Molecular Biology Lab,1,LAB,W,11:30-2:20pm,SCIENG 173,18-JAN 06-MAY,Babi Shkula,24,10,14
16464,BIO-002L-21,Molecular Biology Lab,1,LAB,W,3:00-5:50pm,SCIENG 173,18-JAN 06-MAY,Babi Shkula,24,7,17
13230,BIO-005-01,Biology Today,4,LECT,MWF,12:30-1:20pm,ACS 120,18-JAN 06-MAY,Alkhouri Jourjina,216,154,62,EXAM,M,3:00-6:00pm,ACS 120,09-MAY 09-MAY
13231,BIO-005-02D,Biology Today,0,DISC,M,1:30-3:20pm,GRAN 115,18-JAN 06-MAY,Hall Ronald,24,22,2
13232,BIO-005-03D,Biology Today,0,DISC,T,8:30-10:20am,GRAN 155,18-JAN 06-MAY,Hall Ronald,24,19,5
13233,BIO-005-04D,Biology Today,0,DISC,R,9:30-11:20am,GRAN 155,18-JAN 06-MAY,Hall Ronald,24,24,Closed
13234,BIO-005-05D,Biology Today,0,DISC,W,10:30-12:20pm,CLSSRM 279,18-JAN 06-MAY,Gutierrez Frank,24,24,Closed
13235,BIO-005-06D,Biology Today,0,DISC,F,3:30-5:20pm,ADMIN 354,18-JAN 06-MAY,Leon Nicole,24,9,15
13569,BIO-005-07D,Biology Today,0,DISC,T,5:30-7:20pm,COB2 266,18-JAN 06-MAY,Gutierrez Frank,24,16,8
14095,BIO-005-08D,Biology Today,0,DISC,M,4:30-6:20pm,GRAN 130,18-JAN 06-MAY,Gutierrez Frank,24,11,13
14097,BIO-005-10D,Biology Today,0,DISC,F,8:30-10:20am,ADMIN 354,18-JAN 06-MAY,Leon Nicole,24,10,14
15053,BIO-005-11D,Biology Today,0,DISC,F,1:30-3:20pm,ADMIN 355,18-JAN 06-MAY,Leon Nicole,24,19,5
14085,BIO-018-01,Data Science,4,LECT,TR,4:30-5:45pm,COB2 175,18-JAN 06-MAY,Sollberger Derek,60,60,Closed,EXAM,R,11:30-2:30pm,COB2 175,12-MAY 12-MAY
14086,BIO-018-02D,Data Science,0,DISC,R,11:30-1:20pm,GLCR 160,18-JAN 06-MAY,Vasquez Yumary,20,20,Closed
14098,BIO-018-03D,Data Science,0,DISC,W,5:30-7:20pm,COB2 263,18-JAN 06-MAY,Vasquez Yumary,20,20,Closed
14087,BIO-018-04D,Data Science,0,DISC,F,11:30-1:20pm,CLSSRM 209,18-JAN 06-MAY,Vasquez Yumary,20,20,Closed
16303,BIO-034-01,Introduction to Marine Science,4,LECT,MW,1:30-2:45pm,ADMIN 362,18-JAN 06-MAY,Kim Sora,30,30,Closed,EXAM,S,11:30-2:30pm,ADMIN 362,07-MAY 07-MAY
16304,BIO-034-02D,Introduction to Marine Science,0,DISC,T,6:30-8:20pm,CLSSRM 279,18-JAN 06-MAY,Salazar Bianca,30,30,Closed
10037,BIO-060-01,Nutrition,4,LECT,TR,3:00-4:15pm,ACS 120,18-JAN 06-MAY,Doscher Evin,180,180,Closed,EXAM,M,6:30-9:30pm,ACS 120,09-MAY 09-MAY
10038,BIO-060-02D,Nutrition,0,DISC,M,6:30-7:20pm,COB2 262,18-JAN 06-MAY,Mccool Jillian,20,20,Closed
10039,BIO-060-03D,Nutrition,0,DISC,M,7:30-8:20pm,CLSSRM 201,18-JAN 06-MAY,Mccool Jillian,20,20,Closed
10040,BIO-060-04D,Nutrition,0,DISC,M,8:30-9:20pm,CLSSRM 201,18-JAN 06-MAY,Mccool Jillian,20,20,Closed
10481,BIO-060-05D,Nutrition,0,DISC,T,8:00-8:50am,CLSSRM 270,18-JAN 06-MAY,Brache-Smith Diane-Marie,20,20,Closed
10479,BIO-060-06D,Nutrition,0,DISC,R,8:00-8:50am,ADMIN 355,18-JAN 06-MAY,Brache-Smith Diane-Marie,20,20,Closed
10480,BIO-060-07D,Nutrition,0,DISC,T,4:30-5:20pm,ADMIN 355,18-JAN 06-MAY,Brache-Smith Diane-Marie,20,20,Closed
14099,BIO-060-08D,Nutrition,0,DISC,M,4:30-5:20pm,GLCR 155,18-JAN 06-MAY,Bowser Bradley,20,20,Closed
14100,BIO-060-09D,Nutrition,0,DISC,M,3:30-4:20pm,COB2 266,18-JAN 06-MAY,Bowser Bradley,20,20,Closed
